기관명,기관구분,주소,홈페이지
국립암센터,종합병원,경기도 고양시 일산동구 일산로 323 (마두동),
국립재활원,병원,서울특별시 강북구 삼각산로 58 (수유동),
국립정신건강센터,병원,"서울특별시 광진구 용마산로 127 (중곡동, 국립정신건강센터)",www.ncmh.go.kr/ncmh/main.do
국립정신건강센터,중독관리통합지원센터,서울특별시 강북구 삼양로 335-1 2층,www.gbalcohol.co.kr
국립중앙의료원,기초정신건강복지센터,"서울특별시 강동구 성내로 45, 1층",www.happygd.co.kr/
국립중앙의료원,국립,서울특별시 중구 을지로 245,
국립중앙의료원,종합병원,서울특별시 중구 을지로 245 (을지로6가),
국립춘천병원,국립,강원도 춘천시 동산면 영서로 824,
국립춘천병원,병원,강원도 춘천시 동산면 영서로 824 824,
국립춘천병원,기초정신건강복지센터,강원도 홍천군 홍천읍 신장대로5 홍천군건강증진센터 2층,www.hongcheon.gangwon.kr/mental
국민건강보험공단 일산병원,기초정신건강복지센터,경기도 고양시 덕양구 고양시청로 13-6 현대빌딩 2층,www.goyangmaum.org
국민건강보험공단 일산병원,공립,경기도 고양시 일산동구 일산로 100,
국민건강보험공단일산병원,종합병원,"경기도 고양시 일산동구 일산로 100 (백석동,백석1동 1241외1필지 4층)",
군산시보건소,보건소,전라북도 군산시 수송동로 58 ,
군산의료원,중독관리통합지원센터,전라북도 군산시 백마길16,www.gunsanacc.org
군위군보건소,보건소,경상북도 군위군 군위읍 군청로 70,
군포시보건소,보건소,경기도 군포시 군포로 221 ,
굿모닝내과병원,병원,경상남도 창원시 의창구 사화로 6 (팔용동),
굿모닝정신건강의학과의원,의원,"충청남도 천안시 동남구 만남로 9 2층 214호 (신부동, 더샵오피스텔)",
굿모닝정신건강의학과의원,의원,충청남도 서산시 율지5로 24 (동문동),
굿모닝정신과의원,의원,서울특별시 광진구 아차산로 220 203호 (자양동),
권오양정신건강의학과의원,의원,경상북도 영천시 완산로 52 중원메디빌 4층 (완산동),
권학수정신건강의학과의원,의원,"울산광역시 남구 삼산중로 67 4층 (달동, 송호빌딩)",
귀일정신요양원,정신요양시설,광주광역시 남구 용대로 74번길 21,www.gwiilwon.or.kr
그라따,정신재활시설,서울특별시 도봉구 도봉로 181 가길6 1층,
그루정신건강의학과의원,의원,서울특별시 마포구 양화로 165 상진빌딩 6층 (동교동),
그루터기,정신재활시설,제주특별자치도 제주시 원당북로65 ,www.gongsaeng.or.kr
그리스도요양원,정신요양시설,부산광역시 서구 옥천로 130번길 40,www.happymantal.net
그린나래,정신재활시설,경상북도 상주시 만산8길 61,http://caf?.daum.net/sigreennare
그린홈,정신재활시설,"서울특별시 중랑구 동일로 92길 39-21, 2층",igonggam.net
근로복지공단 대전병원,공립,대전광역시 대덕구 계족로 637(법동),
근로복지공단 대전병원,종합병원,대전광역시 대덕구 계족로 637 (법동),
근로복지공단 안산병원,공립,경기도 안산시 상록구 구룡로 87(일동),
근로복지공단 인천병원,공립,인천광역시 부평구 무네미로 446(구산동),
근로복지공단 창원병원,공립,경상남도 창원시 성산구 창원대로 721(중앙동),
근로복지공단 창원병원,종합병원,경상남도 창원시 성산구 창원대로 721 (중앙동),
근로복지공단 태백병원,공립,강원도 태백시 보드미길8(장성동),
근로복지공단 태백병원,종합병원,강원도 태백시 보드미길 8 (장성동),
근로복지공단안산병원,종합병원,경기도 안산시 상록구 구룡로 87 근로복지공단안산병원 (일동),
근로복지공단인천병원,종합병원,인천광역시 부평구 무네미로 446- (구산동),
글로리병원,병원,"인천광역시 부평구 길주로 655 1층~11층 (삼산동, 글로리타워)",
글로리병원,중독관리통합지원센터,인천광역시 부평구 마장로 410번길 5 청천2동주민센터 3층,www.bpalcohol.or.kr
금산군보건소,보건소,충청남도 금산군 금산읍 금산로 1559 ,
금산제일정신건강의학과의원,의원,충청남도 금산군 금산읍 인삼로 87 (),
금정구보건소,보건소,부산광역시 금정구 중앙대로 1777 ,
금천구보건소,보건소,서울특별시 금천구 시흥대로 73길 70 ,
금천키다리정신건강의학과의원,의원,서울특별시 금천구 시흥대로 403 셈프레팜 902호 (독산동),
금촌혜민의집,정신재활시설,"경기도 파주시 조리읍 송비말길 22, 성원아파트 102동 703호",www.WAZZANG.NET/0319460023
기독성심원,정신요양시설,충청남도 천안시 동남구 성남면 성심원길 124,www.gdssw.or.kr
기린정신건강의학과의원,의원,"서울특별시 강남구 봉은사로 474 2층 203호 (삼성동, 쌍용 플래티넘)",https://girinmind.modoo.at/
기쁜마음정신건강의학과의원,의원,경기도 수원시 장안구 만석로19번길 11-3 209호 (천천동),
기쁜우리사회 복귀시설,정신재활시설,부산광역시 영도구 함지로 33-10,www.jelyoung.or.kr
기쁨해,정신재활시설,경기도 고양시 덕양구 고양대로 1395번길 76 3층,blog.naver.com/marika81
기장군보건소,보건소,부산광역시 기장군 기장읍 기장대로 560 ,
기장정신건강의학과의원,의원,부산광역시 기장군 기장읍 읍내로 108-1 108,
기흥마음정신건강의학과의원,의원,경기도 용인시 기흥구 구갈로 70 메가타운 306호 (구갈동),
길벗 ,정신재활시설,"경기도 화성시 병점로 17-7, 201호(진안동)",
길벗둥지,정신재활시설,"서울특별시 동대문구 서울시립대로 18길 36, 1층",www.길벗둥지.com
길벗정신건강의학과의원,의원,"경기도 하남시 미사강변동로 73 미사강변 노블레스 605,606,607호 (망월동)",
길병원,광역정신건강복지센터,인천광역시 남동구 남동대로 774번길 24,www.imhc.or.kr
길정신건강센터,정신재활시설,제주특별자치도 제주시 한림읍 한림뱅디길 88-17,www.jejumental.or.kr
길정의료재단 대남병원,기초정신건강복지센터,"부산광역시 사상구 가야대로 196번길 51, 3층 다누림센터",www.ssmhc.co.kr
김경우정신건강의학과의원,의원,부산광역시 동래구 온천장로 1 5층 (온천동),
김경진정신건강의학과의원,의원,인천광역시 부평구 평천로 386 2층 (삼산동),
김규태신경정신과의원,의원,경상북도 문경시 중앙로 161 (점촌동),
김규호정신건강의학과의원,의원,"부산광역시 북구 금곡대로285번길 5 401호 (화명동, 레지던스라움)",
김대혁정신건강의학과의원,의원,대구광역시 달서구 달구벌대로 1530 301동 307호 (감삼동),
김덕호정신건강의학과의원,의원,부산광역시 부산진구 중앙대로 804 (전포동),
김동인정신건강의학과의원,의원,전라북도 전주시 완산구 안행3길 10 1~3층 (삼천동1가),
김동진정신건강의학과의원,의원,부산광역시 사하구 다대로 547 4층 (다대동),
김동현정신건강의학과의원,의원,서울특별시 강남구 언주로 869 4층 (신사동),
김량진정신건강의학과의원,의원,전라남도 순천시 이수로 315 2층 (조례동),
김문엽정신건강의학과의원,의원,"서울특별시 광진구 아차산로 431 상가1-205호 (구의동, 강변에스케이뷰)",
김민철정신건강의학과의원,의원,부산광역시 동래구 명륜로 106 혜준빌딩 5층 (명륜동),
김병수정신건강의학과의원,의원,서울특별시 서초구 서초중앙로 125 로이어즈타워 2층 203호 (서초동),
김병후정신건강의학과의원,의원,"서울특별시 서초구 반포대로 287 407,408-1호 (반포동, 래미안퍼스티지중심상가)",
김봉준 정신건강의학과 의원,의원,전라북도 남원시 남문로 437 (하정동),
김상국정신건강의학과의원,의원,대전광역시 서구 대덕대로 202 5층 (둔산동),
김상준정신건강의학과의원,의원,서울특별시 중랑구 동일로 802 (중화동),
김선무정신건강의학과의원,의원,"대전광역시 동구 대전로 799 3층 301호 (중동, 주원빌딩)",
김선미신경정신과의원,의원,"서울특별시 송파구 중대로 80 (문정동, 엘지트윈리젠시 3층)",
김성우정신과의원,의원,충청남도 논산시 중앙로 498-1 (화지동),
김수연정신건강의학과의원,의원,경기도 용인시 수지구 수지로 124 성복스퀘어/근린생활시설 302호 (성복동),
김승일정신과의원,의원,"대구광역시 수성구 명덕로 368 212호 (수성동1가, 한가람코아)",
김신경정신과의원,의원,경상북도 영주시 구성로 346 (영주동),
김신경정신과의원,의원,서울특별시 양천구 목동로 211 (신정동),
김안나정신건강의학과의원,의원,경상북도 포항시 북구 포스코대로 264-1 (죽도동),
김양래휴정신과의원,의원,"경기도 부천시 길주로 272 501호,516호 (중동, 코스모폴리탄)",
김영미정신건강의학과의원,의원,부산광역시 사하구 낙동남로 1414 삼영빌딩 9층 (하단동),
김영우정신건강의학과의원,의원,"서울특별시 강북구 도봉로 321 (수유동, 학성빌딩)",
김영익정신과의원,의원,"인천광역시 남동구 구월남로 174 (구월동, 206호)",
김영헌정신과의원,의원,"서울특별시 노원구 동일로 1550 208호 (상계동, 고려프라자)",
김영화정신과의원,의원,"서울특별시 동대문구 전농로 22 5층 (답십리동, 엠제이빌딩)",
김완중정신건강의학과의원,의원,"대전광역시 중구 중앙로 149 301호 (은행동, 한솔그린타워)",
김용관정신건강의학과의원,의원,"부산광역시 부산진구 중앙대로 747 14층 (부전동, 그린메디컬센터)",
김용호정신건강의학과의원,의원,"서울특별시 성동구 왕십리로 410 상가 L동 136호 (하왕십리동, 센트라스)",
김욱중정신과의원,의원,충청남도 공주시 산성찬호길 1 (산성동),
김원정신건강의학과의원,의원,"경기도 수원시 팔달구 권광로 197 (인계동, 남현빌딩 403호 )",
김유광정신건강의학과의원,의원,서울특별시 마포구 양화로 50 3층 (합정동),
김유진정신건강의학과의원,의원,경기도 용인시 수지구 광교중앙로 338 광교 우미 뉴브 A동 R204호 (상현동),
김윤원정신건강의학과의원,의원,"부산광역시 북구 만덕대로 15 5층 (덕천동, 청암빌딩)",
김인호정신건강의학과의원,의원,전라남도 순천시 팔마로 205 (덕암동),
김임신경정신과의원,의원,전라북도 전주시 완산구 팔달로 232 한국투자증권빌딩 3층 (서노송동),
김재형정신건강의학과의원,의원,경상남도 김해시 장유로 232 코아상가 203호 (부곡동),
김재홍정신건강의학과의원,의원,"울산광역시 남구 삼산로 272 201호 (삼산동, 프리던스빌딩)",
김정곤정신건강의학과의원,의원,울산광역시 동구 방어진순환도로 749 3층 (전하동),
김정신건강의학과의원,의원,충청남도 서산시 고운로 205 (동문동),
김정신건강의학과의원,의원,"서울특별시 서초구 강남대로 455 3층 308호 (서초동, 강남태영데시앙루브)",
김정일정신건강의학과의원,의원,서울특별시 강남구 선릉로 603 3층 (논현동),
김제시보건소,보건소,전라북도 김제시 성산길 138 ,
김제헌신경정신과의원,의원,경기도 부천시 부천로 69 (심곡동),
김종길신경정신과의원,의원,"부산광역시 부산진구 중앙대로 786 210호 (전포동, 에메랄드홀)",
김종숙정신건강의학과의원,의원,인천광역시 부평구 부평대로 51 (부평동),
김종억신경정신과의원,의원,인천광역시 미추홀구 경인로 462 (주안동),
김종우정신건강의학과의원,의원,경기도 부천시 부일로 472 3층 (심곡동),
